x	y	radius
722	2235	812
723	2235	812
722	2236	812
723	2236	812
724	2236	812
722	2237	812
723	2237	812
724	2237	812
722	2238	812
723	2238	812
724	2238	812
1047	1600	937
1040	1601	937
1041	1601	937
1041	1602	937
1042	1602	937
1052	1604	937
1053	1604	937
1051	1605	937
1052	1605	937
1053	1605	937
1054	1605	937
1050	1606	937
1051	1606	937
1052	1606	937
1053	1606	937
1054	1606	937
1055	1606	937
1049	1607	937
1050	1607	937
1051	1607	937
1052	1607	937
1053	1607	937
1054	1607	937
1048	1608	937
1049	1608	937
1050	1608	937
1051	1608	937
1052	1608	937
1053	1608	937
1054	1608	937
1770	2042	987
1771	2042	987
1772	2042	987
1771	2043	987
1772	2043	987
1773	2043	987
1773	2047	987
1774	2047	987
1772	2048	987
1773	2048	987
1774	2048	987
1772	2049	987
1773	2049	987
1774	2049	987
1772	2050	987
1773	2050	987
1766	2053	987
1767	2054	987
1768	2054	987
1768	2055	987
1769	2055	987
1879	1438	1062
1878	1439	1062
1879	1439	1062
1877	1440	1062
1878	1440	1062
1879	1440	1062
1877	1441	1062
1878	1441	1062
1879	1441	1062
1876	1442	1062
1877	1442	1062
1878	1442	1062
1879	1442	1062
1876	1443	1062
1877	1443	1062
1878	1443	1062
1879	1443	1062
1874	1444	1062
1875	1444	1062
1876	1444	1062
1877	1444	1062
1878	1444	1062
1879	1444	1062
1874	1445	1062
1875	1445	1062
1876	1445	1062
1877	1445	1062
1878	1445	1062
1879	1445	1062
1874	1446	1062
1875	1446	1062
1876	1446	1062
1877	1446	1062
1878	1446	1062
1879	1446	1062
1926	1446	1062
1875	1447	1062
1876	1447	1062
1877	1447	1062
1878	1447	1062
1879	1447	1062
1926	1447	1062
1875	1448	1062
1876	1448	1062
1877	1448	1062
1878	1448	1062
1879	1448	1062
1875	1449	1062
1876	1449	1062
1877	1449	1062
1878	1449	1062
1879	1449	1062
1875	1450	1062
1876	1450	1062
1877	1450	1062
1878	1450	1062
1879	1450	1062
1875	1451	1062
1876	1451	1062
1877	1451	1062
1878	1451	1062
1879	1451	1062
1880	1451	1062
1876	1452	1062
1877	1452	1062
1878	1452	1062
1879	1452	1062
1880	1452	1062
1876	1453	1062
1877	1453	1062
1878	1453	1062
1879	1453	1062
1880	1453	1062
1877	1454	1062
1878	1454	1062
1879	1454	1062
1880	1454	1062
1878	1455	1062
1879	1455	1062
1880	1455	1062
1896	1464	1062
1897	1464	1062
1898	1464	1062
1899	1464	1062
1900	1464	1062
1901	1464	1062
1898	1465	1062
1899	1465	1062
1906	1439	1112
1904	1440	1112
1905	1440	1112
1906	1440	1112
1907	1440	1112
1904	1441	1112
1905	1441	1112
1906	1441	1112
1907	1441	1112
1905	1442	1112
1906	1442	1112
1907	1442	1112
1886	1445	1112
1918	1445	1112
1886	1446	1112
1918	1446	1112
1919	1446	1112
1886	1447	1112
1917	1447	1112
1918	1447	1112
1886	1448	1112
1917	1448	1112
1918	1448	1112
1885	1449	1112
1886	1449	1112
1886	1450	1112
1886	1451	1112
1894	1452	1112
1895	1452	1112
1894	1453	1112
1895	1453	1112
1896	1453	1112
1897	1453	1112
1894	1454	1112
1895	1454	1112
1896	1454	1112
1897	1454	1112
1898	1454	1112
1888	1455	1112
1889	1455	1112
1895	1455	1112
1896	1455	1112
1897	1455	1112
1898	1455	1112
1899	1455	1112
1888	1456	1112
1889	1456	1112
1896	1456	1112
1897	1456	1112
1898	1456	1112
1899	1456	1112
1900	1456	1112
1901	1456	1112
1888	1457	1112
1889	1457	1112
1897	1457	1112
1898	1457	1112
1899	1457	1112
1900	1457	1112
1901	1457	1112
1900	1458	1112
1889	1460	1112
1888	1461	1112
1889	1461	1112
1890	1461	1112
1887	1462	1112
1888	1462	1112
1889	1462	1112
1890	1462	1112
1889	1463	1112
1890	1463	1112
1897	1444	1162
1898	1444	1162
1897	1445	1162
1898	1445	1162
1898	1446	1162
1899	1446	1162
1909	1446	1162
1899	1447	1162
1900	1447	1162
1901	1447	1162
1907	1447	1162
1908	1447	1162
1909	1447	1162
1910	1447	1162
1899	1448	1162
1900	1448	1162
1901	1448	1162
1902	1448	1162
1906	1448	1162
1907	1448	1162
1908	1448	1162
1909	1448	1162
1910	1448	1162
1900	1449	1162
1901	1449	1162
1902	1449	1162
1903	1449	1162
1904	1449	1162
1905	1449	1162
1906	1449	1162
1907	1449	1162
1908	1449	1162
1909	1449	1162
1902	1450	1162
1903	1450	1162
1904	1450	1162
1905	1450	1162
1904	1451	1162
1903	1439	1212
1904	1439	1212
1905	1439	1212
1902	1440	1212
1903	1440	1212
1904	1440	1212
1905	1440	1212
1902	1441	1212
1903	1441	1212
1904	1441	1212
1913	1447	1287
1914	1447	1287
1912	1448	1287
1913	1448	1287
1914	1448	1287
1912	1449	1287
1913	1449	1287
1914	1449	1287
1911	1450	1287
1912	1450	1287
1913	1450	1287
1911	1451	1287
1912	1451	1287
